date,day_of_week,active_customers,marketing_campaign,incident_active,ticket_count
2026-03-01,Sunday,1215,1,0,19
2026-03-02,Monday,1192,1,0,54
2026-03-03,Tuesday,1186,0,1,68
2026-03-04,Wednesday,1197,0,0,33
2026-03-05,Thursday,1199,0,0,28
2026-03-06,Friday,1204,0,0,16
2026-03-07,Saturday,1241,0,0,14
2026-03-08,Sunday,1213,1,0,21
2026-03-09,Monday,1205,1,0,51
2026-03-10,Tuesday,1240,0,1,75
2026-03-11,Wednesday,1239,1,0,38
2026-03-12,Thursday,1243,0,0,28
2026-03-13,Friday,1247,0,0,27
2026-03-14,Saturday,1228,0,0,12
2026-03-15,Sunday,1223,0,0,10
2026-03-16,Monday,1230,0,0,40
2026-03-17,Tuesday,1267,0,0,39
2026-03-18,Wednesday,1266,1,0,39
2026-03-19,Thursday,1258,0,0,33
2026-03-20,Friday,1276,0,0,17
2026-03-21,Saturday,1249,0,0,15
2026-03-22,Sunday,1255,1,0,26
2026-03-23,Monday,1286,0,0,43
2026-03-24,Tuesday,1285,0,0,34
2026-03-25,Wednesday,1294,0,0,36
2026-03-26,Thursday,1277,0,0,26
2026-03-27,Friday,1261,0,0,17
2026-03-28,Saturday,1263,1,0,30
2026-03-29,Sunday,1286,0,0,16
2026-03-30,Monday,1291,0,0,37
2026-03-31,Tuesday,1308,0,0,39
2026-04-01,Wednesday,1316,0,0,28
2026-04-02,Thursday,1289,0,0,28
2026-04-03,Friday,1306,0,0,19
2026-04-04,Saturday,1317,0,0,19
2026-04-05,Sunday,1292,1,0,26
2026-04-06,Monday,1332,0,0,46
2026-04-07,Tuesday,1306,0,0,36
2026-04-08,Wednesday,1308,0,0,36
2026-04-09,Thursday,1297,1,0,36
2026-04-10,Friday,1343,0,0,29
2026-04-11,Saturday,1328,0,0,18
2026-04-12,Sunday,1339,0,0,16
2026-04-13,Monday,1352,0,0,42
2026-04-14,Tuesday,1332,0,0,38
2026-04-15,Wednesday,1343,0,0,29
2026-04-16,Thursday,1334,1,0,44
2026-04-17,Friday,1330,1,0,29
2026-04-18,Saturday,1333,1,1,64
2026-04-19,Sunday,1326,0,0,14
2026-04-20,Monday,1338,0,0,46
2026-04-21,Tuesday,1364,0,0,38
2026-04-22,Wednesday,1343,1,0,44
2026-04-23,Thursday,1361,0,0,25
2026-04-24,Friday,1380,0,0,19
2026-04-25,Saturday,1365,0,0,12
2026-04-26,Sunday,1358,0,0,10
2026-04-27,Monday,1373,0,0,39
2026-04-28,Tuesday,1377,0,0,33
2026-04-29,Wednesday,1355,0,0,28
2026-04-30,Thursday,1360,0,0,27
2026-05-01,Friday,1384,0,0,25
2026-05-02,Saturday,1364,1,1,66
2026-05-03,Sunday,1380,0,0,12
2026-05-04,Monday,1394,0,0,46
2026-05-05,Tuesday,1412,0,0,37
2026-05-06,Wednesday,1386,0,0,36
2026-05-07,Thursday,1379,0,1,72
2026-05-08,Friday,1409,0,0,22
2026-05-09,Saturday,1385,0,0,13
2026-05-10,Sunday,1389,0,0,11
2026-05-11,Monday,1413,1,0,53
2026-05-12,Tuesday,1428,0,0,39
2026-05-13,Wednesday,1436,0,0,33
2026-05-14,Thursday,1410,0,0,30
2026-05-15,Friday,1425,1,0,38
2026-05-16,Saturday,1423,0,0,12
2026-05-17,Sunday,1435,0,0,10
2026-05-18,Monday,1413,0,0,41
2026-05-19,Tuesday,1434,0,0,38
2026-05-20,Wednesday,1433,1,0,44
2026-05-21,Thursday,1457,0,0,35
2026-05-22,Friday,1421,0,0,30
2026-05-23,Saturday,1430,0,0,13
2026-05-24,Sunday,1433,0,0,13
2026-05-25,Monday,1468,0,0,50
2026-05-26,Tuesday,1473,0,0,38
2026-05-27,Wednesday,1439,1,0,44
2026-05-28,Thursday,1441,1,0,47
2026-05-29,Friday,1458,1,0,38
2026-05-30,Saturday,1480,1,0,26
2026-05-31,Sunday,1482,1,0,29
2026-06-01,Monday,1460,0,1,83
2026-06-02,Tuesday,1504,0,1,77
2026-06-03,Wednesday,1470,0,0,35
2026-06-04,Thursday,1509,0,0,37
2026-06-05,Friday,1510,1,0,35
2026-06-06,Saturday,1477,0,1,56
2026-06-07,Sunday,1519,0,0,14
2026-06-08,Monday,1489,1,0,57
2026-06-09,Tuesday,1477,0,0,41
2026-06-10,Wednesday,1500,0,0,33
2026-06-11,Thursday,1495,1,0,43
2026-06-12,Friday,1501,0,0,25
2026-06-13,Saturday,1509,0,0,22
2026-06-14,Sunday,1511,0,0,15
2026-06-15,Monday,1504,0,0,40
2026-06-16,Tuesday,1502,0,0,39
2026-06-17,Wednesday,1526,0,0,37
2026-06-18,Thursday,1538,0,1,72
2026-06-19,Friday,1505,0,0,31
2026-06-20,Saturday,1554,0,0,17
2026-06-21,Sunday,1534,0,0,16
2026-06-22,Monday,1553,0,0,45
2026-06-23,Tuesday,1549,0,0,41
2026-06-24,Wednesday,1564,0,0,38
2026-06-25,Thursday,1565,0,0,31
2026-06-26,Friday,1565,0,0,23
2026-06-27,Saturday,1548,0,0,23
2026-06-28,Sunday,1570,0,0,19
2026-06-29,Monday,1578,0,0,44
2026-06-30,Tuesday,1580,1,0,57
2026-07-01,Wednesday,1580,0,0,35
2026-07-02,Thursday,1587,0,0,31
2026-07-03,Friday,1548,1,0,42
2026-07-04,Saturday,1599,1,0,36
2026-07-05,Sunday,1589,0,0,19
2026-07-06,Monday,1581,0,0,42
2026-07-07,Tuesday,1607,0,0,42
2026-07-08,Wednesday,1576,1,0,51
2026-07-09,Thursday,1594,1,0,41
2026-07-10,Friday,1597,1,0,42
2026-07-11,Saturday,1606,0,0,22
2026-07-12,Sunday,1613,0,0,18
2026-07-13,Monday,1612,0,0,49
2026-07-14,Tuesday,1608,0,0,46
2026-07-15,Wednesday,1600,0,0,42
2026-07-16,Thursday,1601,0,0,33
2026-07-17,Friday,1604,0,0,31
2026-07-18,Saturday,1597,1,0,28
2026-07-19,Sunday,1640,0,0,18
2026-07-20,Monday,1632,0,0,49
2026-07-21,Tuesday,1625,0,0,37
2026-07-22,Wednesday,1652,0,0,38
2026-07-23,Thursday,1626,0,0,36
2026-07-24,Friday,1644,0,0,33
2026-07-25,Saturday,1627,0,0,23
2026-07-26,Sunday,1617,0,0,19
2026-07-27,Monday,1665,1,0,56
2026-07-28,Tuesday,1661,0,0,46
2026-07-29,Wednesday,1661,0,0,39
2026-07-30,Thursday,1636,0,0,34
2026-07-31,Friday,1655,0,0,29
2026-08-01,Saturday,1682,0,0,23
2026-08-02,Sunday,1653,0,0,21
2026-08-03,Monday,1643,0,0,53
2026-08-04,Tuesday,1647,0,0,37
2026-08-05,Wednesday,1661,0,1,73
2026-08-06,Thursday,1664,1,0,50
2026-08-07,Friday,1665,0,0,29
2026-08-08,Saturday,1665,0,0,17
2026-08-09,Sunday,1707,0,0,15
2026-08-10,Monday,1698,1,0,65
2026-08-11,Tuesday,1688,0,0,39
2026-08-12,Wednesday,1704,0,0,35
2026-08-13,Thursday,1714,0,0,40
2026-08-14,Friday,1680,0,0,25
2026-08-15,Saturday,1698,0,0,18
2026-08-16,Sunday,1711,0,1,58
2026-08-17,Monday,1713,1,0,65
2026-08-18,Tuesday,1714,0,0,46
2026-08-19,Wednesday,1729,0,0,43
2026-08-20,Thursday,1740,0,0,41
2026-08-21,Friday,1711,0,0,26
2026-08-22,Saturday,1714,0,0,24
2026-08-23,Sunday,1736,0,0,15
2026-08-24,Monday,1734,0,0,48
2026-08-25,Tuesday,1728,0,0,48
2026-08-26,Wednesday,1753,0,0,43
2026-08-27,Thursday,1724,1,0,49
