ticket_number,subject,description,channel,customer_tier,description_length,contains_payment_keyword,contains_outage_keyword,exclamation_count,priority
1,Update profile,I need help updating profile preferences in account settings.,web,free,61,0,0,0,low
2,Password reset,I need instructions for resetting my account password. Please help as soon as possible!,email,pro,87,0,0,1,low
3,Invoice issue,The invoice amount is incorrect and requires clarification.,email,pro,59,1,0,0,medium
4,Refund request,I need help with a refund for an unexpected payment.,web,free,52,1,0,0,medium
5,Login outage,Users cannot log in to the product and work is blocked.,chat,free,55,0,1,0,high
6,Login outage,Users cannot log in to the product and work is blocked.,email,free,55,0,1,0,high
7,Login outage,Users cannot log in to the product and work is blocked.,web,free,55,0,1,0,medium
8,Password reset,I need instructions for resetting my account password.,chat,pro,54,0,0,0,low
9,Update profile,I need help updating profile preferences in account settings.,email,enterprise,61,0,0,0,medium
10,Update profile,I need help updating profile preferences in account settings.,chat,free,61,0,0,0,low
11,Update profile,I need help updating profile preferences in account settings.,web,pro,61,0,0,0,low
12,Refund request,I need help with a refund for an unexpected payment.,web,pro,52,1,0,0,medium
13,Update profile,I need help updating profile preferences in account settings.,email,pro,61,0,0,0,low
14,Critical application error,The application returns an error for every user in our account.,web,free,63,0,1,0,high
15,Feature question,Could you explain how to use the reporting feature?,email,free,51,0,0,0,low
16,Invoice issue,The invoice amount is incorrect and requires clarification.,chat,enterprise,59,1,0,0,high
17,Password reset,I need instructions for resetting my account password. Please help as soon as possible!,chat,free,87,0,0,1,low
18,Password reset,I need instructions for resetting my account password.,chat,pro,54,0,0,0,low
19,Refund request,I need help with a refund for an unexpected payment. Please help as soon as possible!,web,enterprise,85,1,0,1,high
20,Password reset,I need instructions for resetting my account password.,chat,pro,54,0,0,0,low
21,Service is unavailable,Our team cannot access the dashboard and the service is unavailable.,web,enterprise,68,0,1,0,high
22,Service is unavailable,Our team cannot access the dashboard and the service is unavailable.,web,free,68,0,1,0,high
23,Service is unavailable,Our team cannot access the dashboard and the service is unavailable.,web,enterprise,68,0,1,0,high
24,Feature question,Could you explain how to use the reporting feature?,email,free,51,0,0,0,low
25,Update profile,I need help updating profile preferences in account settings.,email,free,61,0,0,0,high
26,Payment charged twice,My card was charged twice for the same subscription payment. Please help as soon as possible!,web,pro,93,1,0,1,medium
27,Feature question,Could you explain how to use the reporting feature?,web,enterprise,51,0,0,0,medium
28,Password reset,I need instructions for resetting my account password.,web,free,54,0,0,0,low
29,Feature question,Could you explain how to use the reporting feature?,web,free,51,0,0,0,low
30,Update profile,I need help updating profile preferences in account settings. Please help as soon as possible!,web,free,94,0,0,1,low
31,Payment charged twice,My card was charged twice for the same subscription payment.,chat,free,60,1,0,0,medium
32,Payment charged twice,My card was charged twice for the same subscription payment.,web,enterprise,60,1,0,0,high
33,Feature question,Could you explain how to use the reporting feature?,email,free,51,0,0,0,low
34,Invoice issue,The invoice amount is incorrect and requires clarification.,email,pro,59,1,0,0,medium
35,Refund request,I need help with a refund for an unexpected payment. Please help as soon as possible!,email,free,85,1,0,1,medium
36,Refund request,I need help with a refund for an unexpected payment.,chat,free,52,1,0,0,medium
37,Password reset,I need instructions for resetting my account password.,email,free,54,0,0,0,low
38,Update profile,I need help updating profile preferences in account settings.,email,free,61,0,0,0,low
39,Update profile,I need help updating profile preferences in account settings.,chat,free,61,0,0,0,low
40,Feature question,Could you explain how to use the reporting feature?,chat,pro,51,0,0,0,low
41,Feature question,Could you explain how to use the reporting feature?,email,free,51,0,0,0,high
42,Password reset,I need instructions for resetting my account password.,chat,free,54,0,0,0,low
43,Update profile,I need help updating profile preferences in account settings. Please help as soon as possible!,email,enterprise,94,0,0,1,medium
44,Password reset,I need instructions for resetting my account password.,email,free,54,0,0,0,low
45,Update profile,I need help updating profile preferences in account settings.,web,free,61,0,0,0,low
46,Refund request,I need help with a refund for an unexpected payment.,email,pro,52,1,0,0,medium
47,Critical application error,The application returns an error for every user in our account.,chat,free,63,0,1,0,high
48,Critical application error,The application returns an error for every user in our account. Please help as soon as possible!,web,enterprise,96,0,1,1,high
49,Refund request,I need help with a refund for an unexpected payment.,email,enterprise,52,1,0,0,high
50,Password reset,I need instructions for resetting my account password.,chat,pro,54,0,0,0,low
51,Critical application error,The application returns an error for every user in our account. Please help as soon as possible!,chat,enterprise,96,0,1,1,high
52,Payment charged twice,My card was charged twice for the same subscription payment.,web,pro,60,1,0,0,medium
53,Update profile,I need help updating profile preferences in account settings.,web,pro,61,0,0,0,low
54,Update profile,I need help updating profile preferences in account settings.,email,pro,61,0,0,0,medium
55,Password reset,I need instructions for resetting my account password.,chat,free,54,0,0,0,low
56,Update profile,I need help updating profile preferences in account settings.,email,enterprise,61,0,0,0,medium
57,Login outage,Users cannot log in to the product and work is blocked.,web,pro,55,0,1,0,medium
58,Update profile,I need help updating profile preferences in account settings.,chat,free,61,0,0,0,low
59,Feature question,Could you explain how to use the reporting feature?,web,pro,51,0,0,0,low
60,Service is unavailable,Our team cannot access the dashboard and the service is unavailable.,chat,free,68,0,1,0,high
